username,seguidores,alcance_min,alcance_max,status
tatianagarciabeautyacademy,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22tatianagarciabeautyacademy%22%7D&doc_id=26347858941511777&server_timestamps=true
turibeiro,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22turibeiro%22%7D&doc_id=26347858941511777&server_timestamps=true
correndocomraika,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22correndocomraika%22%7D&doc_id=26347858941511777&server_timestamps=true
mayracamelo,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22mayracamelo%22%7D&doc_id=26347858941511777&server_timestamps=true
camillaartiagavet,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22camillaartiagavet%22%7D&doc_id=26347858941511777&server_timestamps=true
val.acarvalho,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22val.acarvalho%22%7D&doc_id=26347858941511777&server_timestamps=true
elianemartins7,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22elianemartins7%22%7D&doc_id=26347858941511777&server_timestamps=true
julianarhv,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22julianarhv%22%7D&doc_id=26347858941511777&server_timestamps=true
eduardo.alves94,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22eduardo.alves94%22%7D&doc_id=26347858941511777&server_timestamps=true
smarilurdes,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22smarilurdes%22%7D&doc_id=26347858941511777&server_timestamps=true
vitoria_585,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22vitoria_585%22%7D&doc_id=26347858941511777&server_timestamps=true
_geovanna29,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22_geovanna29%22%7D&doc_id=26347858941511777&server_timestamps=true
camilacdferreira,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22camilacdferreira%22%7D&doc_id=26347858941511777&server_timestamps=true
anapaulasouzatributario,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22anapaulasouzatributario%22%7D&doc_id=26347858941511777&server_timestamps=true
wandersontimao10,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22wandersontimao10%22%7D&doc_id=26347858941511777&server_timestamps=true
melfranco2019,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22melfranco2019%22%7D&doc_id=26347858941511777&server_timestamps=true
waleriabertolucci,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22waleriabertolucci%22%7D&doc_id=26347858941511777&server_timestamps=true
letyciaaa.gomes,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22letyciaaa.gomes%22%7D&doc_id=26347858941511777&server_timestamps=true
danuzasou,,,,erro: JSON Query to graphql/query: 403 Forbidden when accessing https://www.instagram.com/graphql/query?variables=%7B%22hasQuery%22%3Atrue%2C%22query%22%3A%22danuzasou%22%7D&doc_id=26347858941511777&server_timestamps=true
